"Metabolite","Comparison","W","p_value","Higher"
"Path123","IL vs H",95,0.156804259391035,"IL"
"Path124","IL vs H",105,0.0596570612050488,"IL"
"Path125","IL vs H",78,0.359317338329571,"H"
"Path126","IL vs H",8,4.95533541703955e-05,"H"
"Path127","IL vs H",73,0.977402191293698,"H"
"Path128","IL vs H",129,0.000495533541703955,"IL"
"Path129","IL vs H",144,7.39602301050679e-07,"IL"
"Path130","IL vs H",76,0.83916868672949,"IL"
"Path131","IL vs H",95,0.165072225412253,"IL"
"Path132","IL vs H",140,9.70057168601521e-05,"IL"
"Path133","IL vs H",96,0.174478129727489,"IL"
"Path134","IL vs H",36,0.0387211388692073,"H"
"Path135","IL vs H",25,0.00724728468129621,"H"
"Path136","IL vs H",26,0.00681173719267675,"H"
"Path137","IL vs H",87,0.409510398068751,"IL"
"Path138","IL vs H",69,0.88738593483512,"H"
"Path139","IL vs H",78,0.359317338329571,"H"
"Path140","IL vs H",78,0.755284828242158,"H"
"Path141","IL vs H",28,0.00727735974866186,"H"
"Path142","IL vs H",98,0.143167775823584,"IL"
"Path143","IL vs H",57,0.378687016563243,"H"
"Path144","IL vs H",73,0.977402191293698,"H"
"Path145","IL vs H",95,0.105830997750621,"H"
"Path146","IL vs H",96,0.0366874429478183,"H"
"Path147","IL vs H",78,0.359317338329571,"H"
"Path148","IL vs H",78,0.359317338329571,"H"
"Path149","IL vs H",95,0.156804259391035,"IL"
"Path150","IL vs H",126,0.00111458066768337,"IL"
"Path151","IL vs H",0,1.02689156151545e-05,"H"
"Path152","IL vs H",58,0.432206298335208,"H"
"Path153","IL vs H",59,0.477575258232143,"H"
"Path154","IL vs H",129,0.00109514607697005,"IL"
"Path155","IL vs H",84,0.166224591128354,"H"
"Path156","IL vs H",72,1,"H"
"Path157","IL vs H",19,0.00143260965713517,"H"
"Path158","IL vs H",103.5,0.0734257754873862,"IL"
"Path159","IL vs H",59,0.477575258232143,"H"
"Path160","IL vs H",138,3.75846071382431e-05,"IL"
"Path161","IL vs H",77,0.798745338656498,"IL"
"Path162","IL vs H",95,0.197808114620606,"IL"
"Path163","IL vs H",31,0.0172711929341355,"H"
"Path164","IL vs H",70,0.932300503373326,"H"
"Path165","IL vs H",99,0.125692704582391,"IL"
"Path166","IL vs H",39,0.0596570612050488,"H"
"Path167","IL vs H",84,0.166224591128354,"H"
"Path168","IL vs H",73.5,0.939502482206017,"H"
"Path169","IL vs H",65,0.712535075639127,"H"
"Path170","IL vs H",109,0.0332414254207228,"IL"
"Path171","IL vs H",134,0.000102804719846044,"IL"
"Path172","IL vs H",46,0.126494039272414,"H"
"Path173","IL vs H",127,0.00122926434954298,"IL"
"Path174","IL vs H",90,0.0788056024469581,"H"
"Path175","IL vs H",66,0.359317338329571,"H"
"Path176","IL vs H",81,0.629725504001988,"IL"
"Path177","IL vs H",96,0.178182027959925,"IL"
"Path178","IL vs H",90,0.0788056024469581,"H"
"Path179","IL vs H",124,0.00182977609279938,"IL"
"Path180","IL vs H",102,0.0732945832922599,"IL"
"Path181","IL vs H",68,0.842835990231333,"H"
"Path182","IL vs H",61,0.551167166391288,"H"
"Path183","IL vs H",82,0.581713793159085,"IL"
"Path184","IL vs H",85,0.467077467146436,"IL"
"Path185","IL vs H",63,0.583740876782788,"H"
"Path186","IL vs H",61,0.551167166391288,"H"
"Path187","IL vs H",78,0.359317338329571,"H"
"Path188","IL vs H",74,0.932300503373326,"H"
"Path189","IL vs H",122,0.00291403306613968,"IL"
"Path190","IL vs H",77,0.798745338656498,"IL"
"Path191","IL vs H",141,5.17721610735475e-06,"IL"
"Path192","IL vs H",77,0.756888281831839,"H"
"Path193","IL vs H",39,0.0596570612050488,"H"
"Path194","IL vs H",71,0.976684748219713,"H"
"Path195","IL vs H",113,0.0172711929341355,"IL"
