"Metabolite","Comparison","W","p_value","Higher"
"Path537","IL vs H",84,0.49525036055439,"IL"
"Path538","IL vs H",78,0.359317338329571,"H"
"Path539","IL vs H",86,0.442833179742589,"IL"
"Path540","IL vs H",89,0.347357918699957,"IL"
"Path541","IL vs H",100,0.113502327528441,"IL"
"Path542","IL vs H",139,0.00012292700166567,"IL"
"Path543","IL vs H",64,0.670659532955939,"H"
"Path544","IL vs H",73,0.977402191293698,"H"
"Path545","IL vs H",43,0.100530442770314,"H"
"Path546","IL vs H",14,0.000371280355127441,"H"
"Path547","IL vs H",61.5,0.373985849002745,"H"
"Path548","IL vs H",54,0.318585170382182,"H"
