Group,H_D_CDB_R10,H_D_CDB_R5,H_D_CDB_R7,H_D_WEB_R1,H_D_WEB_R10,H_D_WEB_R5,H_W_DES_R10,H_W_DES_R6,H_W_DES_R8,H_W_FUL_R4,H_W_FUL_R9,H_W_FUL_R10
MAG_3,0.80133941,0.875840893,0.889735278,0.905020305,0.878011303,0.956375137,0.794188718,0.73622937,0.767943309,0.754279883,0.782050221,0.688170401
MAG_4,0.659509028,0.830470806,0.783264109,0.863794651,0.820356177,0.897682029,0.819749822,0.685230394,0.754157406,0.796298962,0.862360808,0.854877261
MAG_5,0.775397124,0.90095534,0.813127634,0.835108513,0.879135801,0.974205143,0.766637655,0.771578651,0.698373323,0.878368605,0.916411625,0.665643187
MAG_10,0.774904985,0.904859717,0.816361529,0.837924429,0.886542255,0.974263701,0.783427736,0.785732464,0.718949923,0.895586489,0.931308243,0.669099152
MAG_15,0.79105457,0.869924089,0.8859858,0.900392978,0.870550177,0.946917493,0.808285407,0.738316429,0.779919944,0.757012792,0.785916283,0.699546596
