bins,Bac_HAYS_DRY_MAG_1,Ar_HAYS_DRY_MAG_2,Ar_HAYS_DRY_MAG_3,Bac_HAYS_DRY_MAG_4,Bac_HAYS_DRY_MAG_5,Bac_HAYS_DRY_MAG_6,Bac_HAYS_DRY_MAG_7,Bac_HAYS_DRY_MAG_8,Bac_HAYS_DRY_MAG_9,Bac_HAYS_WET_MAG_10,Ar_HAYS_WET_MAG_11,Bac_HAYS_WET_MAG_12,Bac_HAYS_WET_MAG_13,Bac_HAYS_WET_MAG_14,Ar_HAYS_WET_MAG_15,Bac_HAYS_WET_MAG_16,Bac_HAYS_WET_MAG_17,Bac_IL_WET_MAG_18,Bac_IL_WET_MAG_19,Bac_IL_WET_MAG_20,Bac_IL_WET_MAG_21,Bac_IL_WET_MAG_22,Bac_IL_WET_MAG_23,Bac_IL_WET_MAG_24,Bac_IL_WET_MAG_25,Bac_IL_WET_MAG_26,Bac_IL_WET_MAG_27,Ar_IL_WET_MAG_28,Ar_IL_WET_MAG_29,Bac_IL_DRY_MAG_30,Bac_IL_DRY_MAG_31,Bac_IL_DRY_MAG_32,Bac_IL_DRY_MAG_33,Ar_IL_DRY_MAG_34
IL_D_CDB_R7,0.105205217,0.5112002,0.012858832,0.029326934,0.057045958,0.091489695,0.002800861,0.012557788,0.562533197,0.047283899,0.512435599,0.002109263,0.000974246,0.223263742,0.010787754,0.027268983,0.01379574,0.000689782,0.002792136,0.407235554,0.02390756,0.849257057,0.072295062,0.606489594,0.105170142,0.326266126,0.006909492,0.057639683,0.938566935,0.111290127,0.678139383,0.020451137,0.958008892,0.75247016
IL_D_WEB_R1,0.050891106,0.072590574,0.003380874,0.01927546,0.021163531,0.023691432,0.002505352,0.01084611,0.0725618,0.016625509,0.068218766,0.001851674,0.000690284,0.029831755,0.00274598,0.001123107,0.012132474,0.001391709,0.001334405,0.553827417,0.026769836,0.613699339,0.054364845,0.835459027,0.140151784,0.011820207,0.007385046,0.617030431,0.15993449,0.02821121,0.763579788,0.601104116,0.218099679,0.94799833
IL_D_WEB_R2,0.092499031,0.112797473,0.007195078,0.034616265,0.03000083,0.136227356,0.001039673,0.009582728,0.162587535,0.02338924,0.107509809,0.000946741,0.000232403,0.113837703,0.005325147,0.002142316,0.010611848,0.008294088,0.011978229,0.369621157,0.029660168,0.197794172,0.40183142,0.907109414,0.034842517,0.235349017,0.009579865,0.274834254,0.523642371,0.021764979,0.597527488,0.002775159,0.711478627,0.858716653
IL_D_WEB_R9,0.187780663,0.050119985,0.002617281,0.017684541,0.011647985,0.010387916,0.006129107,0.012959851,0.395624934,0.007240334,0.046927309,0.001340991,0.000464806,0.016725052,0.001442615,0.000708137,0.013238195,0.010569705,0.05401094,0.424932771,0.043048487,0.642470852,0.049587005,0.665587653,0.300524886,0.314149526,0.028181378,0.590333839,0.153176066,0.192424912,0.544211408,0.081223069,0.006353167,0.886041248
IL_W_DES_R1,0.131529277,0.058746906,0.003159319,0.032623927,0.013450174,0.056500948,0.008437094,0.007596729,0.188840528,0.009607283,0.057597776,0.001133751,0.000742613,0.020100783,0.001734718,0.001892667,0.008875439,0.014899869,0.005824146,0.489237951,0.044951995,0.978213974,0.063220442,0.781644829,0.053105412,0.976970312,0.027495133,0.774195129,0.229532786,0.246423684,0.727529597,0.013453763,0.39016661,0.904438093
IL_W_DES_R6,0.080217293,0.28739855,0.006042165,0.025026125,0.033793044,0.033290705,0.003170786,0.010024518,0.113292465,0.027193138,0.285042069,0.001140494,0.000863432,0.02492752,0.004643216,0.002913542,0.010784421,0.00130347,0.002470947,0.352223988,0.023580886,0.538038144,0.525275845,0.839891406,0.968301568,0.340467194,0.008367269,0.080371777,0.966318423,0.012395125,0.421105172,0.005560442,0.264079177,0.900153372
IL_W_DES_R8,0.086047127,0.196237618,0.008241539,0.026467885,0.031283512,0.118011198,0.002909789,0.010054655,0.129099651,0.022742295,0.19448896,0.00122366,0.00135902,0.033828871,0.007042324,0.008893037,0.011448166,0.002063275,0.002508647,0.445501556,0.027451665,0.615645383,0.971479372,0.883255273,0.179465581,0.340263868,0.008754535,0.446340482,0.946061321,0.006077601,0.654841455,0.02674618,0.160446265,0.943559878
IL_W_FUL_R10,0.025972138,0.076392793,0.00296071,0.013696806,0.012310617,0.019539112,0.000927509,0.010953988,0.059472282,0.008916222,0.072571514,0.000942695,0.000267802,0.016243828,0.002500771,0.000613191,0.009864289,0.139803992,0.161716806,0.361866064,0.190825626,0.316898305,0.040733973,0.723910038,0.685015769,0.045540222,0.036238609,0.896023611,0.537830823,0.007260383,0.383865858,0.055701224,0.00165078,0.931034111
IL_W_FUL_R3,0.080273918,0.255847026,0.00984847,0.032035024,0.034899007,0.106507739,0.002127878,0.012932453,0.227973858,0.026195052,0.250067791,0.001404826,0.001527551,0.019567194,0.00789429,0.002740932,0.013187438,0.003965063,0.001833621,0.54606219,0.031020424,0.625926359,0.881540598,0.912025749,0.316440221,0.147365935,0.009315752,0.258952961,0.874142325,0.003442082,0.795660101,0.015152646,0.271912503,0.903073658
IL_W_FUL_R4,0.214763949,0.090962379,0.002144079,0.014242706,0.012496324,0.016626189,0.001204683,0.006174782,0.098089928,0.01002651,0.08735441,0.000464829,0.000474041,0.007033878,0.001483066,0.00114497,0.007228832,0.999400164,0.999124524,0.449041619,0.991688411,0.852762431,0.867375785,0.648615102,0.300515933,0.014221625,0.994456248,0.403720016,0.696966508,0.143850307,0.51075112,0.061439463,0.047774816,0.929682238
