Sample,Kingdom,Phyla,H_D_CDB_R10,H_D_CDB_R5,H_D_CDB_R7,H_D_WEB_R1,H_D_WEB_R10,H_D_WEB_R5,H_W_DES_R10,H_W_DES_R6,H_W_DES_R8,H_W_FUL_R10,H_W_FUL_R4,H_W_FUL_R9,C_D_CDB_R1,C_D_CDB_R3,C_D_CDB_R7,C_D_WEB_R1,C_D_WEB_R2,C_D_WEB_R9,C_W_DES_R1,C_W_DES_R6,C_W_DES_R8,C_W_FUL_R10,C_W_FUL_R3,C_W_FUL_R4
MAG_19,Bacteria,Bacteroidota,0.000921307,0.000475931,0.00225214,0.000875353,0.001038843,0.000637203,0.000489976,0.00037589,0.001657195,0.001070013,0.000770015,0.000674656,0.002155056,0.002490906,0.002792136,0.001334405,0.011978229,0.05401094,0.005824146,0.002470947,0.002508647,0.161716806,0.001833621,0.999124524
MAG_20,Bacteria,Patescibacteria,0.000171697,0.000453169,0.000549713,0.000248539,0.000577579,0.004915049,0.000620081,0.001687701,0.000694952,0.001067339,0.000418266,0.001135736,0.565395599,0.587666441,0.407235554,0.553827417,0.369621157,0.424932771,0.489237951,0.352223988,0.445501556,0.361866064,0.54606219,0.449041619
MAG_21,Bacteria,Pseudomonadota,0.010646978,0.011153886,0.021094594,0.00923295,0.015416588,0.014308192,0.013898415,0.012612973,0.02078131,0.025197891,0.021481204,0.018192998,0.041768358,0.029375577,0.02390756,0.026769836,0.029660168,0.043048487,0.044951995,0.023580886,0.027451665,0.190825626,0.031020424,0.991688411
MAG_22,Uknown,Uknown,0.002397314,0.007840624,0.003480113,0.005342265,0.007377191,0.003419923,0.040182379,0.01141149,0.090377218,0.029130783,0.024850421,0.022982656,0.957536944,0.700739902,0.849257057,0.613699339,0.197794172,0.642470852,0.978213974,0.538038144,0.615645383,0.316898305,0.625926359,0.852762431
MAG_23,Bacteria,Nitrospirota,0.004927998,0.011943415,0.009553706,0.004899979,0.006578359,0.009021739,0.012279446,0.006952867,0.014120416,0.015263277,0.011495702,0.007289885,0.359379011,0.218257922,0.072295062,0.054364845,0.40183142,0.049587005,0.063220442,0.525275845,0.971479372,0.040733973,0.881540598,0.867375785
MAG_24,Bacteria,Nitrospirota,0.004412227,0.004492353,0.003878531,0.005212371,0.004054457,0.004924812,0.003076788,0.003431839,0.003055517,0.003974331,0.004605746,0.004057656,0.844354331,0.765408928,0.606489594,0.835459027,0.907109414,0.665587653,0.781644829,0.839891406,0.883255273,0.723910038,0.912025749,0.648615102
MAG_25,Bacteria,Planctomycetota,0.026034259,0.024968094,0.02281097,0.029628778,0.042294651,0.046283127,0.042702728,0.013814343,0.022947684,0.032792147,0.047301081,0.058894591,0.068279321,0.230861548,0.105170142,0.140151784,0.034842517,0.300524886,0.053105412,0.968301568,0.179465581,0.685015769,0.316440221,0.300515933
MAG_26,Bacteria,Verrucomicrobiota,0.001378059,0.003638942,0.002753875,0.003101847,0.003598576,0.002854417,0.007356374,0.002530365,0.006895526,0.005687155,0.006159216,0.006552413,0.730470495,0.166967856,0.326266126,0.011820207,0.235349017,0.314149526,0.976970312,0.340467194,0.340263868,0.045540222,0.147365935,0.014221625
MAG_27,Bacteria,Pseudomonadota,0.002692492,0.002720047,0.005760815,0.003261582,0.003320253,0.003677527,0.003504138,0.002108781,0.005732886,0.004314848,0.003717828,0.004604079,0.016110339,0.009050889,0.006909492,0.007385046,0.009579865,0.028181378,0.027495133,0.008367269,0.008754535,0.036238609,0.009315752,0.994456248
MAG_28,Archaea,Thermoproteota,0.002025835,0.001901706,0.002487001,0.002516326,0.002654515,0.003445888,0.00264648,0.001512848,0.002382555,0.002028245,0.002123451,0.001910544,0.485568487,0.666531424,0.057639683,0.617030431,0.274834254,0.590333839,0.774195129,0.080371777,0.446340482,0.896023611,0.258952961,0.403720016
MAG_29,Archaea,Thermoproteota,0.048984571,0.058424862,0.084094912,0.045007958,0.064959166,0.09716655,0.047225684,0.051784554,0.034284278,0.06362429,0.051243184,0.033581632,0.187957799,0.275352421,0.938566935,0.15993449,0.523642371,0.153176066,0.229532786,0.966318423,0.946061321,0.537830823,0.874142325,0.696966508
MAG_30,Bacteria,Pseudomonadota,0.000260384,0.00037787,0.002640469,0.000361699,0.000599312,0.000883457,0.000682476,0.00038183,0.000979822,0.001314129,0.000690726,0.001546132,0.984752205,0.021786101,0.111290127,0.02821121,0.021764979,0.192424912,0.246423684,0.012395125,0.006077601,0.007260383,0.003442082,0.143850307
MAG_31,Bacteria,Patescibacteria,0.000558152,0.000852632,0.001291151,0.000666981,0.000945057,0.007303584,0.001285149,0.00066298,0.001240737,0.002120576,0.001074292,0.002092168,0.818385874,0.769204916,0.678139383,0.763579788,0.597527488,0.544211408,0.727529597,0.421105172,0.654841455,0.383865858,0.795660101,0.51075112
MAG_32,Bacteria,Patescibacteria,0.001542599,0.00089658,0.001431238,0.002020311,0.00109589,0.001069316,0.001430605,0.000811794,0.001816571,0.001183207,0.001151571,0.001367332,0.010882976,0.944006454,0.020451137,0.601104116,0.002775159,0.081223069,0.013453763,0.005560442,0.02674618,0.055701224,0.015152646,0.061439463
MAG_33,Bacteria,Patescibacteria,0,0.00078029,0.001681209,0.001403,0.0006564,0.001156307,0.000660747,0.000484693,0.001887693,0.001518196,0.001187823,0.001329101,0.501611114,0.414754432,0.958008892,0.218099679,0.711478627,0.006353167,0.39016661,0.264079177,0.160446265,0.00165078,0.271912503,0.047774816
MAG_34,Archaea,Thermoproteota,0.025080843,0.033016221,0.041945167,0.022728224,0.034999169,0.049543773,0.025780109,0.025844712,0.017212461,0.034865776,0.027228887,0.020546683,0.929850923,0.95454714,0.75247016,0.94799833,0.858716653,0.886041248,0.904438093,0.900153372,0.943559878,0.931034111,0.903073658,0.929682238
